Stock Code,Company Name
TRIO,Trikomsel Oke Tbk.
TRIS,Trisula International Tbk.
TRST,Trias Sentosa Tbk.
TRUK,Guna Timur Raya Tbk.
TRUS,Trust Finance Indonesia Tbk
TSPC,Tempo Scan Pacific Tbk.
TUGU,Asuransi Tugu Pratama Indonesia Tbk.
TURI,Tunas Ridean Tbk.
ULTJ,"Ultra Jaya Milk Industry & Trading Company, Tbk."
UNIC,Unggul Indah Cahaya Tbk.
UNIT,Nusantara Inti Corpora Tbk
UNSP,Bakrie Sumatera Plantations Tbk.
UNTR,United Tractors Tbk.
UNVR,Unilever Indonesia Tbk.
URBN,Urban Jakarta Propertindo Tbk.
VICO,Victoria Investama Tbk.
VINS,Victoria Insurance Tbk.
VIVA,Visi Media Asia Tbk.
VOKS,Voksel Electric Tbk.
VRNA,Verena Multi Finance Tbk.
WAPO,Wahana Pronatural Tbk.
WEGE,Wijaya Karya Bangunan Gedung Tbk.
WEHA,WEHA Transportasi Indonesia Tbk.
WICO,Wicaksana Overseas International Tbk.
WIIM,Wismilak Inti Makmur Tbk.
WIKA,Wijaya Karya (Persero) Tbk.
WINS,Wintermar Offshore Marine Tbk.
WOMF,Wahana Ottomitra Multiartha Tbk.
WOOD,Integra Indocabinet Tbk.
WSBP,Waskita Beton Precast Tbk.
WSKT,Waskita Karya (Persero) Tbk.
WTON,Wijaya Karya Beton Tbk.
YELO,Yelooo Integra Datanet Tbk.
YPAS,Yanaprima Hastapersada Tbk
YULE,Yulie Sekuritas Indonesia Tbk.
ZBRA,Zebra Nusantara Tbk
ZINC,Kapuas Prima Coal Tbk.
ZONE,Mega Perintis Tbk.
FOOD,Sentra Food Indonesia Tbk.
BEEF,Estika Tata Tiara Tbk.
POLI,Pollux Investasi Internasional Tbk.
CLAY,Citra Putra Realty Tbk.
NATO,Nusantara Properti Internasional Tbk.
JAYA,Armada Berjaya Trans Tbk.
BTPN,Bank BTPN Tbk.
COCO,Wahana Interfood Nusantara Tbk.
CPRI,Capri Nusa Satu Properti Tbk.
HRME,Menteng Heritage Realty Tbk.
MTPS,Meta Epsi Tbk.
SKYB,Northcliff Citranusa Indonesia Tbk.
SMCB,Solusi Bangun Indonesia Tbk.
KAEF,Kimia Farma (Persero) Tbk.
PGAS,Perusahaan Gas Negara Tbk.
POSA,Bliss Properti Indonesia Tbk.
FITT,Hotel Fitra International Tbk.
INAF,Indofarma (Persero) Tbk.
JAST,Jasnita Telekomindo Tbk.
BOLA,Bali Bintang Sejahtera Tbk.
CCSI,Communication Cable Systems Indonesia Tbk.
ITIC,Indonesian Tobacco Tbk.
KAYU,Darmi Bersaudara Tbk.
KJEN,Krida Jaringan Nusantara Tbk.
POLU,Golden Flower Tbk.
SFAN,Surya Fajar Capital Tbk.
STAR,Buana Artha Anugerah Tbk.
